cell_label,X,Y,class,subclass
1104095349102190109-1,6.185512522724071,3.5613286631303263,01 IT-ET Glut,021 L4 RSP-ACA Glut
1104095349102190285,6.270676813523654,3.446535065495993,01 IT-ET Glut,005 L5 IT CTX Glut
1104095349102510167-1,7.220194517197683,3.5462706196494413,33 Vascular,333 Endo NN
1104095349102330726-1,7.153358791753211,4.263173073932824,01 IT-ET Glut,019 L2/3 IT PPP Glut
1104095349102510157,7.203337883097177,3.520160058568129,31 OPC-Oligo,327 Oligo NN
1104095349102500144-1,7.278590096164578,4.04791101363928,02 NP-CT-L6b Glut,033 NP SUB Glut
1104095349102350786,7.129176589131832,3.4310792691818586,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102510239,7.276082979438618,3.663741694243474,31 OPC-Oligo,327 Oligo NN
1104095349102500220-2,7.298964896086092,3.749679150011533,30 Astro-Epen,319 Astro-TE NN
1104095349102170358,6.476271680840716,4.416041199892923,20 MB GABA,205 SC-PAG Lef1 Emx2 Gaba
1104095349102170238-1,6.3894714647276745,4.371764260890767,30 Astro-Epen,318 Astro-NT NN
1104095349102170196-1,6.367130657590375,4.357383783411991,20 MB GABA,212 SCs Lef1 Gli3 Gaba
1104095349102190204,6.226775185700977,3.496292848537837,01 IT-ET Glut,005 L5 IT CTX Glut
1104095349102510097,7.156577469208261,3.458434162113837,33 Vascular,333 Endo NN
1104095349102180079,6.253460210402939,4.256821564357749,31 OPC-Oligo,327 Oligo NN
1104095349102020727-1,6.12805649942048,4.027431500502778,30 Astro-Epen,318 Astro-NT NN
1104095349102490069-2,7.218438185013369,4.180173795717842,01 IT-ET Glut,023 SUB-ProS Glut
1104095349102020734-1,6.135358580734059,4.052960067997643,19 MB Glut,175 SC Bnc2 Glut
1104095349102170386-1,6.493570044359838,4.42457354098603,19 MB Glut,176 SCig Foxb1 Glut
1104095349102170434-1,6.525527554706676,4.435672155478725,19 MB Glut,185 SCig Tfap2b Chrnb3 Glut
1104095349102020793-1,6.176818780586975,4.148544842932554,19 MB Glut,187 SCsg Pde5a Glut
