cell_label,X,Y,class,subclass
1018093344100660776-1,8.85230683745426,5.9667872703035005,01 IT-ET Glut,017 CA3 Glut
1018093344100660774,8.858853017442422,5.955223732718446,01 IT-ET Glut,017 CA3 Glut
1018093344100660730-1,8.86851268370868,5.9776838491499245,01 IT-ET Glut,017 CA3 Glut
1018093344100660764-1,8.853771830169931,5.979656158703189,01 IT-ET Glut,017 CA3 Glut
1018093344200660643,8.880659301782163,5.960369413180961,01 IT-ET Glut,017 CA3 Glut
1018093344100660745-1,8.862321092524311,5.987438271944801,01 IT-ET Glut,017 CA3 Glut
1018093344100860040-3,8.853646562901012,5.943795718485788,01 IT-ET Glut,017 CA3 Glut
1018093344100660717,8.878059615511653,5.985743795179295,01 IT-ET Glut,017 CA3 Glut
1018093344100660750-1,8.875474782246659,5.943799746983327,01 IT-ET Glut,017 CA3 Glut
1018093344100660781-1,8.842132163379478,5.986809816654307,01 IT-ET Glut,017 CA3 Glut
1018093344100660747-1,8.85672290205043,5.993648575297864,01 IT-ET Glut,017 CA3 Glut
1018093344100660783-1,8.865303717026093,5.9374207800433645,01 IT-ET Glut,017 CA3 Glut
1018093344100860036-3,8.831900445676823,5.98258978622808,01 IT-ET Glut,017 CA3 Glut
1018093344100660835,8.835887405144142,5.943720868787769,01 IT-ET Glut,017 CA3 Glut
1018093344100660709-1,8.891937565874784,5.957245109459503,01 IT-ET Glut,017 CA3 Glut
1018093344100860086-8,8.829110534301119,5.952666773903704,01 IT-ET Glut,017 CA3 Glut
1018093344100660758-1,8.84828032410935,5.997450751036895,01 IT-ET Glut,017 CA3 Glut
1018093344100660692-1,8.894168044334936,5.967388982837151,01 IT-ET Glut,017 CA3 Glut
1018093344100860042-2,8.855028297826188,5.931981048034698,01 IT-ET Glut,017 CA3 Glut
1018093344100660712-1,8.868515700945059,5.999847267053669,01 IT-ET Glut,017 CA3 Glut
1018093344100660683-1,8.889561344482926,5.986420529072077,07 CTX-MGE GABA,053 Sst Gaba
1018093344100660749-1,8.882744476023257,5.935791960715594,01 IT-ET Glut,017 CA3 Glut
1018093344100660708-1,8.894662260954684,5.948992767151971,01 IT-ET Glut,017 CA3 Glut
1018093344100860073-3,8.839430365380851,5.93080982951086,01 IT-ET Glut,017 CA3 Glut
