motif,label,predicted_occurrence_number
"IGRAPH U--- 4 4 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3","[7, 7, 7, 0]",0.0
"IGRAPH U--- 4 5 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3 1--3","[7, 7, 7, 0]",2.0
"IGRAPH U--- 4 6 --
+ attr: type (g), label (v), label (e)
+ edges:
0 -- 1 2 3   1 -- 0 2 3   2 -- 0 1 3   3 -- 0 1 2","[7, 7, 7, 0]",1.0
"IGRAPH U--- 4 4 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3","[7, 7, 7, 1]",2.0
"IGRAPH U--- 4 5 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3 1--3","[7, 7, 7, 1]",2.0
"IGRAPH U--- 4 6 --
+ attr: type (g), label (v), label (e)
+ edges:
0 -- 1 2 3   1 -- 0 2 3   2 -- 0 1 3   3 -- 0 1 2","[7, 7, 7, 1]",2.0
"IGRAPH U--- 4 4 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3","[7, 7, 7, 2]",0.0
"IGRAPH U--- 4 5 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3 1--3","[7, 7, 7, 2]",0.0
"IGRAPH U--- 4 6 --
+ attr: type (g), label (v), label (e)
+ edges:
0 -- 1 2 3   1 -- 0 2 3   2 -- 0 1 3   3 -- 0 1 2","[7, 7, 7, 2]",0.0
"IGRAPH U--- 4 4 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3","[7, 7, 7, 3]",1.0
"IGRAPH U--- 4 5 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3 1--3","[7, 7, 7, 3]",1.0
"IGRAPH U--- 4 6 --
+ attr: type (g), label (v), label (e)
+ edges:
0 -- 1 2 3   1 -- 0 2 3   2 -- 0 1 3   3 -- 0 1 2","[7, 7, 7, 3]",0.0
"IGRAPH U--- 4 4 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3","[7, 7, 7, 4]",2.0
"IGRAPH U--- 4 5 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3 1--3","[7, 7, 7, 4]",4.0
"IGRAPH U--- 4 6 --
+ attr: type (g), label (v), label (e)
+ edges:
0 -- 1 2 3   1 -- 0 2 3   2 -- 0 1 3   3 -- 0 1 2","[7, 7, 7, 4]",4.0
"IGRAPH U--- 4 4 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3","[7, 7, 7, 5]",0.0
"IGRAPH U--- 4 5 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3 1--3","[7, 7, 7, 5]",2.0
"IGRAPH U--- 4 6 --
+ attr: type (g), label (v), label (e)
+ edges:
0 -- 1 2 3   1 -- 0 2 3   2 -- 0 1 3   3 -- 0 1 2","[7, 7, 7, 5]",3.0
"IGRAPH U--- 4 4 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3","[7, 7, 7, 6]",3.0
"IGRAPH U--- 4 5 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3 1--3","[7, 7, 7, 6]",2.0
"IGRAPH U--- 4 6 --
+ attr: type (g), label (v), label (e)
+ edges:
0 -- 1 2 3   1 -- 0 2 3   2 -- 0 1 3   3 -- 0 1 2","[7, 7, 7, 6]",3.0
"IGRAPH U--- 4 4 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3","[7, 7, 7, 7]",0.0
"IGRAPH U--- 4 5 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2 0--3 1--3","[7, 7, 7, 7]",1.0
"IGRAPH U--- 4 6 --
+ attr: type (g), label (v), label (e)
+ edges:
0 -- 1 2 3   1 -- 0 2 3   2 -- 0 1 3   3 -- 0 1 2","[7, 7, 7, 7]",0.0
