motif,ids,obs,null_mean,z,p_enrich,fdr
NP-CT-L6b Glut+Vascular+Vascular,"(np.int64(1), np.int64(6), np.int64(6))",3,4.54,-0.68,0.8115942028985508,0.001927607624759049
NP-CT-L6b Glut+CTX-CGE GABA+OPC-Oligo,"(np.int64(1), np.int64(2), np.int64(5))",1,2.05,-0.69,0.8545727136431784,0.001927607624759049
IT-ET Glut+CTX-MGE GABA+Vascular,"(np.int64(0), np.int64(3), np.int64(6))",51,58.0,-0.82,0.8060969515242379,0.001927607624759049
IT-ET Glut+IT-ET Glut+Vascular,"(np.int64(0), np.int64(0), np.int64(6))",243,264.07,-1.14,0.879560219890055,0.001927607624759049
CTX-CGE GABA+Astro-Epen+Astro-Epen,"(np.int64(2), np.int64(4), np.int64(4))",19,26.15,-1.2,0.9080459770114943,0.001927607624759049
IT-ET Glut+Vascular+Immune,"(np.int64(0), np.int64(6), np.int64(7))",6,11.07,-1.26,0.9270364817591205,0.001927607624759049
IT-ET Glut+NP-CT-L6b Glut+Immune,"(np.int64(0), np.int64(1), np.int64(7))",3,7.12,-1.31,0.9485257371314343,0.001927607624759049
IT-ET Glut+Vascular+Vascular,"(np.int64(0), np.int64(6), np.int64(6))",33,43.16,-1.36,0.9290354822588706,0.001927607624759049
NP-CT-L6b Glut+OPC-Oligo+OPC-Oligo,"(np.int64(1), np.int64(5), np.int64(5))",4,9.47,-1.61,0.974512743628186,0.001927607624759049
NP-CT-L6b Glut+Astro-Epen+Immune,"(np.int64(1), np.int64(4), np.int64(7))",1,5.6,-1.75,0.9910044977511244,0.001927607624759049
NP-CT-L6b Glut+CTX-CGE GABA+Astro-Epen,"(np.int64(1), np.int64(2), np.int64(4))",1,6.94,-2.02,0.999000499750125,0.001927607624759049
CTX-MGE GABA+Astro-Epen+Astro-Epen,"(np.int64(3), np.int64(4), np.int64(4))",83,109.19,-2.22,0.9900049975012494,0.001927607624759049
IT-ET Glut+NP-CT-L6b Glut+CTX-CGE GABA,"(np.int64(0), np.int64(1), np.int64(2))",1,8.9,-2.28,0.9995002498750625,0.001927607624759049
IT-ET Glut+CTX-CGE GABA+OPC-Oligo,"(np.int64(0), np.int64(2), np.int64(5))",8,19.84,-2.29,0.9965017491254373,0.001927607624759049
IT-ET Glut+NP-CT-L6b Glut+CTX-MGE GABA,"(np.int64(0), np.int64(1), np.int64(3))",18,37.49,-2.79,0.999000499750125,0.001927607624759049
NP-CT-L6b Glut+CTX-MGE GABA+Astro-Epen,"(np.int64(1), np.int64(3), np.int64(4))",12,29.83,-2.86,0.9995002498750625,0.001927607624759049
IT-ET Glut+IT-ET Glut+Immune,"(np.int64(0), np.int64(0), np.int64(7))",13,34.13,-3.08,1.0,0.001927607624759049
IT-ET Glut+OPC-Oligo+Immune,"(np.int64(0), np.int64(5), np.int64(7))",2,16.08,-3.12,1.0,0.001927607624759049
NP-CT-L6b Glut+Astro-Epen+Vascular,"(np.int64(1), np.int64(4), np.int64(6))",20,43.87,-3.23,1.0,0.001927607624759049
IT-ET Glut+CTX-MGE GABA+OPC-Oligo,"(np.int64(0), np.int64(3), np.int64(5))",38,83.61,-4.41,1.0,0.001927607624759049
NP-CT-L6b Glut+Astro-Epen+OPC-Oligo,"(np.int64(1), np.int64(4), np.int64(5))",25,63.48,-4.42,1.0,0.001927607624759049
IT-ET Glut+NP-CT-L6b Glut+Vascular,"(np.int64(0), np.int64(1), np.int64(6))",14,56.12,-4.95,1.0,0.001927607624759049
IT-ET Glut+OPC-Oligo+Vascular,"(np.int64(0), np.int64(5), np.int64(6))",48,124.75,-6.07,1.0,0.001927607624759049
IT-ET Glut+OPC-Oligo+OPC-Oligo,"(np.int64(0), np.int64(5), np.int64(5))",27,89.82,-6.2,1.0,0.001927607624759049
IT-ET Glut+Astro-Epen+Immune,"(np.int64(0), np.int64(4), np.int64(7))",9,53.18,-6.22,1.0,0.001927607624759049
IT-ET Glut+NP-CT-L6b Glut+OPC-Oligo,"(np.int64(0), np.int64(1), np.int64(5))",16,81.16,-6.5,1.0,0.001927607624759049
